product,date,title,rating,body
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 1 November 2020,The cream is used as a cream and not some liquid which is useless.,5.0,"Just tried mCaffine body lotion, must say it has been a pleasent experience. The skin feels softer and lovelier. Thank you for this great product. P.S the smell of the lotion is absolutely awesome."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 29 December 2019,Soft skin and good for winters,5.0,In winters skins get too much dry but after using this it really feels your skin has bee revived.Perfect for all male/female. All can use it. The scent it too good which is coffee flavored. I use it once a day and it goes all day long.Worth the money spent.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 29 December 2020,Amazing Quality,5.0,Amazing Quality Product. I really love the scent. I am using it from last 1 week and the results are amazing ❤ A must buy daily lotion.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 24 January 2020,Good but not very good,3.0,It is a good moisture but it is not that good for dry skin and winters. It gives you a matte finish but not good for giving even skin tone. It is expensive too
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 25 January 2021,Must buy,5.0,"The media could not be loaded.
                



 It’s very lightweight and non greasy gel lotion. It gets absorbed quickly! Smells amazing. It tones the skin. Overall it’s a good body lotion"
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 25 December 2020,Leaves skin soft,5.0,I have extremely dry skin and this body lotion keeps it really soft. It is non-greesy and perfect for winters
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 24 November 2020,Its winter time now!! Buy the best moisturizer🥳,5.0,It  is the best body lotion ever used.The packaging was goodReally looking forward to use more products from caffeine
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 13 April 2021,Mcaffeine coffee lotion,5.0,Superb lotion its a good smell.coffee products are good.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 7 July 2021,Must try,5.0,Good fragrance .
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 13 November 2019,Value for money,5.0,I just love this Body Lotion. I always try their products. And they never disappoint me. This product is really great for dry skin on winter days. It keeps the skin moisturized for whole day. It's a value for money product.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 18 December 2019,Xyz,4.0,"Don't see it tone, but a good to go cream for regular use"
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 9 October 2020,Satisfying product,5.0,This product is very satisfying and deeply nourishes the dry skin. I am very much happy that what I spent was worth it.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 15 April 2021,good product,5.0,move around with coffee fragnance guyss...!!!
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 20 October 2020,Amazing product,5.0,"Amazing product, mind blowing scent, hydrated skin very well"
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 13 March 2021,Amazing,5.0,Amazing
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 20 December 2019,Perfect lotion for winters,5.0,I would recommend every product of this brand. The lotion stays for every type of skin. Moistures really well. Removes dead skin and smells good.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 4 February 2021,Good product,5.0,Good product.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 7 May 2021,Dislike scent,2.0,Dont go for it if you are looking for coffee scent. This product has a strong aroma and nothing of coffe type.Moisturisation : 3/5
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 25 January 2020,Quickly absorbed and hydrated with long lasting effect,5.0,Strong aroma of coffee.Hydrates very well.Last for long time as well.Absorbs quickly.It's removing my Tan which i like most.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 15 October 2019,Smoothens skin,5.0,Mcaffeine is a great brand.....this lotion quickly absorbs into your skin and gives a smooth touch and with regular use it makes your skin Hydrated
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 2 September 2020,Ok,3.0,Ok
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 3 January 2020,Good for oily skin,4.0,Nice lotion
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 9 August 2020,Good,5.0,Good product! Pleasant smell and good feel on skin!
